Time,Direction,Location_id,Count,Hour,Day
2013-06-16 09:00:00,N,NI80_2LCS,479,9,2013-06-16
2013-06-16 10:00:00,N,NI80_2LCS,657,10,2013-06-16
2013-06-16 11:00:00,N,NI80_2LCS,821,11,2013-06-16
2013-06-16 12:00:00,N,NI80_2LCS,841,12,2013-06-16
2013-06-16 13:00:00,N,NI80_2LCS,898,13,2013-06-16
2013-06-16 14:00:00,N,NI80_2LCS,937,14,2013-06-16
2013-06-16 15:00:00,N,NI80_2LCS,1093,15,2013-06-16
2013-06-16 16:00:00,N,NI80_2LCS,993,16,2013-06-16
2013-06-16 17:00:00,N,NI80_2LCS,945,17,2013-06-16
2013-06-16 18:00:00,N,NI80_2LCS,976,18,2013-06-16
2013-06-16 19:00:00,N,NI80_2LCS,1088,19,2013-06-16
2013-06-16 20:00:00,N,NI80_2LCS,1028,20,2013-06-16
2013-06-16 21:00:00,N,NI80_2LCS,913,21,2013-06-16
2013-06-16 22:00:00,N,NI80_2LCS,781,22,2013-06-16
2013-06-16 23:00:00,N,NI80_2LCS,562,23,2013-06-16
2013-06-16 01:00:00,N,I80W_1EXIT,132,1,2013-06-16
2013-06-16 02:00:00,N,I80W_1EXIT,70,2,2013-06-16
2013-06-16 03:00:00,N,I80W_1EXIT,57,3,2013-06-16
2013-06-16 04:00:00,N,I80W_1EXIT,32,4,2013-06-16
2013-06-16 05:00:00,N,I80W_1EXIT,46,5,2013-06-16
2013-06-16 06:00:00,N,I80W_1EXIT,72,6,2013-06-16
2013-06-16 07:00:00,N,I80W_1EXIT,150,7,2013-06-16
2013-06-16 08:00:00,N,I80W_1EXIT,174,8,2013-06-16
2013-06-16 09:00:00,N,I80W_1EXIT,261,9,2013-06-16
2013-06-16 10:00:00,N,I80W_1EXIT,362,10,2013-06-16
2013-06-16 11:00:00,N,I80W_1EXIT,457,11,2013-06-16
2013-06-16 12:00:00,N,I80W_1EXIT,536,12,2013-06-16
2013-06-16 13:00:00,N,I80W_1EXIT,595,13,2013-06-16
2013-06-16 14:00:00,N,I80W_1EXIT,672,14,2013-06-16
2013-06-16 15:00:00,N,I80W_1EXIT,683,15,2013-06-16
2013-06-16 16:00:00,N,I80W_1EXIT,645,16,2013-06-16
2013-06-16 17:00:00,N,I80W_1EXIT,609,17,2013-06-16
2013-06-16 18:00:00,N,I80W_1EXIT,492,18,2013-06-16
2013-06-16 19:00:00,N,I80W_1EXIT,387,19,2013-06-16
2013-06-16 20:00:00,N,I80W_1EXIT,439,20,2013-06-16
2013-06-16 21:00:00,N,I80W_1EXIT,398,21,2013-06-16
2013-06-16 22:00:00,N,I80W_1EXIT,315,22,2013-06-16
2013-06-16 23:00:00,N,I80W_1EXIT,263,23,2013-06-16
2013-06-16 01:00:00,N,I80W_1ENT,61,1,2013-06-16
2013-06-16 02:00:00,N,I80W_1ENT,42,2,2013-06-16
2013-06-16 03:00:00,N,I80W_1ENT,34,3,2013-06-16
2013-06-16 04:00:00,N,I80W_1ENT,28,4,2013-06-16
2013-06-16 05:00:00,N,I80W_1ENT,31,5,2013-06-16
2013-06-16 06:00:00,N,I80W_1ENT,34,6,2013-06-16
2013-06-16 07:00:00,N,I80W_1ENT,39,7,2013-06-16
2013-06-16 08:00:00,N,I80W_1ENT,38,8,2013-06-16
2013-06-16 09:00:00,N,I80W_1ENT,73,9,2013-06-16
2013-06-16 10:00:00,N,I80W_1ENT,106,10,2013-06-16
2013-06-16 11:00:00,N,I80W_1ENT,159,11,2013-06-16
2013-06-16 12:00:00,N,I80W_1ENT,179,12,2013-06-16
2013-06-16 13:00:00,N,I80W_1ENT,177,13,2013-06-16
2013-06-16 14:00:00,N,I80W_1ENT,191,14,2013-06-16
2013-06-16 15:00:00,N,I80W_1ENT,219,15,2013-06-16
2013-06-16 16:00:00,N,I80W_1ENT,215,16,2013-06-16
2013-06-16 17:00:00,N,I80W_1ENT,221,17,2013-06-16
2013-06-16 18:00:00,N,I80W_1ENT,192,18,2013-06-16
2013-06-16 19:00:00,N,I80W_1ENT,161,19,2013-06-16
2013-06-16 20:00:00,N,I80W_1ENT,177,20,2013-06-16
2013-06-16 21:00:00,N,I80W_1ENT,145,21,2013-06-16
2013-06-16 22:00:00,N,I80W_1ENT,137,22,2013-06-16
2013-06-16 23:00:00,N,I80W_1ENT,104,23,2013-06-16
2013-06-16 01:00:00,N,167E_1EXIT,69,1,2013-06-16
2013-06-16 02:00:00,N,167E_1EXIT,43,2,2013-06-16
2013-06-16 03:00:00,N,167E_1EXIT,29,3,2013-06-16
2013-06-16 04:00:00,N,167E_1EXIT,15,4,2013-06-16
2013-06-16 05:00:00,N,167E_1EXIT,17,5,2013-06-16
2013-06-16 06:00:00,N,167E_1EXIT,20,6,2013-06-16
2013-06-16 07:00:00,N,167E_1EXIT,34,7,2013-06-16
2013-06-16 08:00:00,N,167E_1EXIT,38,8,2013-06-16
2013-06-16 09:00:00,N,167E_1EXIT,72,9,2013-06-16
2013-06-16 10:00:00,N,167E_1EXIT,133,10,2013-06-16
